id,claim,claim_type
8767,This movie is fantastic.,OPINION
8768,15 + 27 = 42.,NUMERIC
8769,The company was founded in 2010.,TEMPORAL
8770,AI is the greatest invention.,OPINION
8771,Python is the best language.,OPINION
8772,15 + 27 = 42.,NUMERIC
8773,Every square is a rectangle.,LOGICAL
8774,All mammals are animals.,LOGICAL
8775,The company was founded in 2010.,TEMPORAL
8776,Water freezes at 0°C.,FACTUAL
8777,A triangle has 3 sides.,NUMERIC
8778,India became independent in 1947.,TEMPORAL
8779,This movie is fantastic.,OPINION
8780,Every square is a rectangle.,LOGICAL
8781,India became independent in 1947.,TEMPORAL
8782,If A>B and B>C then A>C.,LOGICAL
8783,The Earth is 149.6 million km from the Sun.,NUMERIC
8784,The Earth is 149.6 million km from the Sun.,NUMERIC
8785,Water freezes at 0°C.,FACTUAL
8786,15 + 27 = 42.,NUMERIC
8787,Water freezes at 0°C.,FACTUAL
8788,The company was founded in 2010.,TEMPORAL
8789,Every square is a rectangle.,LOGICAL
8790,The Earth is 149.6 million km from the Sun.,NUMERIC
8791,The Olympics were held in Tokyo in 2021.,TEMPORAL
8792,The company was founded in 2010.,TEMPORAL
8793,AI is the greatest invention.,OPINION
8794,A triangle has 3 sides.,NUMERIC
8795,AI is the greatest invention.,OPINION
8796,The company was founded in 2010.,TEMPORAL
8797,Mount Everest is the tallest mountain.,FACTUAL
8798,A triangle has 3 sides.,NUMERIC
8799,This movie is fantastic.,OPINION
8800,The Earth is 149.6 million km from the Sun.,NUMERIC
8801,Every square is a rectangle.,LOGICAL
8802,Water freezes at 0°C.,FACTUAL
8803,India became independent in 1947.,TEMPORAL
8804,The Earth is 149.6 million km from the Sun.,NUMERIC
8805,Paris is the capital of France.,FACTUAL
8806,All mammals are animals.,LOGICAL
8807,The Olympics were held in Tokyo in 2021.,TEMPORAL
8808,The Earth is 149.6 million km from the Sun.,NUMERIC
8809,Every square is a rectangle.,LOGICAL
8810,A triangle has 3 sides.,NUMERIC
8811,If A>B and B>C then A>C.,LOGICAL
8812,Water freezes at 0°C.,FACTUAL
8813,If A>B and B>C then A>C.,LOGICAL
8814,A triangle has 3 sides.,NUMERIC
8815,This movie is fantastic.,OPINION
8816,India became independent in 1947.,TEMPORAL
8817,AI is the greatest invention.,OPINION
8818,India became independent in 1947.,TEMPORAL
8819,Paris is the capital of France.,FACTUAL
8820,The company was founded in 2010.,TEMPORAL
8821,If A>B and B>C then A>C.,LOGICAL
8822,The Earth is 149.6 million km from the Sun.,NUMERIC
8823,Every square is a rectangle.,LOGICAL
8824,Mount Everest is the tallest mountain.,FACTUAL
8825,Every square is a rectangle.,LOGICAL
8826,The Olympics were held in Tokyo in 2021.,TEMPORAL
8827,The Earth is 149.6 million km from the Sun.,NUMERIC
8828,AI is the greatest invention.,OPINION
8829,The Olympics were held in Tokyo in 2021.,TEMPORAL
8830,Python is the best language.,OPINION
8831,Mount Everest is the tallest mountain.,FACTUAL
8832,Mount Everest is the tallest mountain.,FACTUAL
8833,The Earth is 149.6 million km from the Sun.,NUMERIC
8834,Paris is the capital of France.,FACTUAL
8835,15 + 27 = 42.,NUMERIC
8836,Mount Everest is the tallest mountain.,FACTUAL
8837,A triangle has 3 sides.,NUMERIC
8838,15 + 27 = 42.,NUMERIC
8839,The Olympics were held in Tokyo in 2021.,TEMPORAL
8840,India became independent in 1947.,TEMPORAL
8841,If A>B and B>C then A>C.,LOGICAL
8842,Water freezes at 0°C.,FACTUAL
8843,Every square is a rectangle.,LOGICAL
8844,Mount Everest is the tallest mountain.,FACTUAL
8845,Every square is a rectangle.,LOGICAL
8846,Every square is a rectangle.,LOGICAL
8847,A triangle has 3 sides.,NUMERIC
8848,Paris is the capital of France.,FACTUAL
8849,All mammals are animals.,LOGICAL
8850,Water freezes at 0°C.,FACTUAL
8851,15 + 27 = 42.,NUMERIC
8852,Mount Everest is the tallest mountain.,FACTUAL
8853,AI is the greatest invention.,OPINION
8854,Mount Everest is the tallest mountain.,FACTUAL
8855,The Earth is 149.6 million km from the Sun.,NUMERIC
8856,Paris is the capital of France.,FACTUAL
8857,15 + 27 = 42.,NUMERIC
8858,15 + 27 = 42.,NUMERIC
8859,This movie is fantastic.,OPINION
8860,The Olympics were held in Tokyo in 2021.,TEMPORAL
8861,All mammals are animals.,LOGICAL
8862,This movie is fantastic.,OPINION
8863,All mammals are animals.,LOGICAL
8864,Every square is a rectangle.,LOGICAL
8865,Paris is the capital of France.,FACTUAL
8866,A triangle has 3 sides.,NUMERIC
8867,Paris is the capital of France.,FACTUAL
8868,A triangle has 3 sides.,NUMERIC
8869,All mammals are animals.,LOGICAL
8870,The company was founded in 2010.,TEMPORAL
8871,Mount Everest is the tallest mountain.,FACTUAL
8872,The company was founded in 2010.,TEMPORAL
8873,The Earth is 149.6 million km from the Sun.,NUMERIC
8874,15 + 27 = 42.,NUMERIC
8875,AI is the greatest invention.,OPINION
8876,This movie is fantastic.,OPINION
8877,The company was founded in 2010.,TEMPORAL
8878,The company was founded in 2010.,TEMPORAL
8879,All mammals are animals.,LOGICAL
8880,A triangle has 3 sides.,NUMERIC
8881,The Olympics were held in Tokyo in 2021.,TEMPORAL
8882,The Earth is 149.6 million km from the Sun.,NUMERIC
8883,The Olympics were held in Tokyo in 2021.,TEMPORAL
8884,Mount Everest is the tallest mountain.,FACTUAL
8885,The Olympics were held in Tokyo in 2021.,TEMPORAL
8886,Water freezes at 0°C.,FACTUAL
8887,Python is the best language.,OPINION
8888,This movie is fantastic.,OPINION
8889,15 + 27 = 42.,NUMERIC
8890,Paris is the capital of France.,FACTUAL
8891,All mammals are animals.,LOGICAL
8892,15 + 27 = 42.,NUMERIC
8893,Python is the best language.,OPINION
8894,The company was founded in 2010.,TEMPORAL
8895,A triangle has 3 sides.,NUMERIC
8896,The Olympics were held in Tokyo in 2021.,TEMPORAL
8897,All mammals are animals.,LOGICAL
8898,A triangle has 3 sides.,NUMERIC
8899,India became independent in 1947.,TEMPORAL
8900,AI is the greatest invention.,OPINION
8901,India became independent in 1947.,TEMPORAL
8902,15 + 27 = 42.,NUMERIC
8903,India became independent in 1947.,TEMPORAL
8904,Every square is a rectangle.,LOGICAL
8905,Every square is a rectangle.,LOGICAL
8906,The Olympics were held in Tokyo in 2021.,TEMPORAL
8907,Every square is a rectangle.,LOGICAL
8908,The Earth is 149.6 million km from the Sun.,NUMERIC
8909,Every square is a rectangle.,LOGICAL
8910,This movie is fantastic.,OPINION
8911,15 + 27 = 42.,NUMERIC
8912,AI is the greatest invention.,OPINION
8913,Paris is the capital of France.,FACTUAL
8914,AI is the greatest invention.,OPINION
8915,Water freezes at 0°C.,FACTUAL
8916,Water freezes at 0°C.,FACTUAL
8917,If A>B and B>C then A>C.,LOGICAL
8918,AI is the greatest invention.,OPINION
8919,Paris is the capital of France.,FACTUAL
8920,India became independent in 1947.,TEMPORAL
8921,The Earth is 149.6 million km from the Sun.,NUMERIC
8922,India became independent in 1947.,TEMPORAL
8923,The Olympics were held in Tokyo in 2021.,TEMPORAL
8924,Water freezes at 0°C.,FACTUAL
8925,Paris is the capital of France.,FACTUAL
8926,India became independent in 1947.,TEMPORAL
8927,The Olympics were held in Tokyo in 2021.,TEMPORAL
8928,15 + 27 = 42.,NUMERIC
8929,Water freezes at 0°C.,FACTUAL
8930,15 + 27 = 42.,NUMERIC
8931,Paris is the capital of France.,FACTUAL
8932,The Earth is 149.6 million km from the Sun.,NUMERIC
8933,Python is the best language.,OPINION
8934,This movie is fantastic.,OPINION
8935,India became independent in 1947.,TEMPORAL
8936,This movie is fantastic.,OPINION
8937,Mount Everest is the tallest mountain.,FACTUAL
8938,15 + 27 = 42.,NUMERIC
8939,Water freezes at 0°C.,FACTUAL
8940,All mammals are animals.,LOGICAL
8941,Water freezes at 0°C.,FACTUAL
8942,If A>B and B>C then A>C.,LOGICAL
8943,All mammals are animals.,LOGICAL
8944,Mount Everest is the tallest mountain.,FACTUAL
8945,Mount Everest is the tallest mountain.,FACTUAL
8946,Water freezes at 0°C.,FACTUAL
8947,The company was founded in 2010.,TEMPORAL
8948,All mammals are animals.,LOGICAL
8949,India became independent in 1947.,TEMPORAL
8950,India became independent in 1947.,TEMPORAL
8951,A triangle has 3 sides.,NUMERIC
8952,All mammals are animals.,LOGICAL
8953,Mount Everest is the tallest mountain.,FACTUAL
8954,Every square is a rectangle.,LOGICAL
8955,All mammals are animals.,LOGICAL
8956,Water freezes at 0°C.,FACTUAL
8957,India became independent in 1947.,TEMPORAL
8958,This movie is fantastic.,OPINION
8959,If A>B and B>C then A>C.,LOGICAL
8960,AI is the greatest invention.,OPINION
8961,The company was founded in 2010.,TEMPORAL
8962,The company was founded in 2010.,TEMPORAL
8963,Python is the best language.,OPINION
8964,The Earth is 149.6 million km from the Sun.,NUMERIC
8965,The Olympics were held in Tokyo in 2021.,TEMPORAL
8966,A triangle has 3 sides.,NUMERIC
8967,If A>B and B>C then A>C.,LOGICAL
8968,If A>B and B>C then A>C.,LOGICAL
8969,India became independent in 1947.,TEMPORAL
8970,Every square is a rectangle.,LOGICAL
8971,This movie is fantastic.,OPINION
8972,The Olympics were held in Tokyo in 2021.,TEMPORAL
8973,Mount Everest is the tallest mountain.,FACTUAL
8974,India became independent in 1947.,TEMPORAL
8975,The Olympics were held in Tokyo in 2021.,TEMPORAL
8976,If A>B and B>C then A>C.,LOGICAL
8977,Python is the best language.,OPINION
8978,15 + 27 = 42.,NUMERIC
8979,The company was founded in 2010.,TEMPORAL
8980,A triangle has 3 sides.,NUMERIC
8981,The company was founded in 2010.,TEMPORAL
8982,A triangle has 3 sides.,NUMERIC
8983,15 + 27 = 42.,NUMERIC
8984,All mammals are animals.,LOGICAL
8985,All mammals are animals.,LOGICAL
8986,Python is the best language.,OPINION
8987,Mount Everest is the tallest mountain.,FACTUAL
8988,Mount Everest is the tallest mountain.,FACTUAL
8989,Water freezes at 0°C.,FACTUAL
8990,Python is the best language.,OPINION
8991,A triangle has 3 sides.,NUMERIC
8992,A triangle has 3 sides.,NUMERIC
8993,The Olympics were held in Tokyo in 2021.,TEMPORAL
8994,Water freezes at 0°C.,FACTUAL
8995,The company was founded in 2010.,TEMPORAL
8996,Every square is a rectangle.,LOGICAL
8997,All mammals are animals.,LOGICAL
8998,This movie is fantastic.,OPINION
8999,Every square is a rectangle.,LOGICAL
9000,Paris is the capital of France.,FACTUAL
9001,All mammals are animals.,LOGICAL
9002,A triangle has 3 sides.,NUMERIC
9003,Mount Everest is the tallest mountain.,FACTUAL
9004,Water freezes at 0°C.,FACTUAL
9005,15 + 27 = 42.,NUMERIC
9006,India became independent in 1947.,TEMPORAL
9007,If A>B and B>C then A>C.,LOGICAL
9008,A triangle has 3 sides.,NUMERIC
9009,Paris is the capital of France.,FACTUAL
9010,Paris is the capital of France.,FACTUAL
9011,Water freezes at 0°C.,FACTUAL
9012,Paris is the capital of France.,FACTUAL
9013,A triangle has 3 sides.,NUMERIC
9014,Paris is the capital of France.,FACTUAL
9015,The Olympics were held in Tokyo in 2021.,TEMPORAL
9016,Water freezes at 0°C.,FACTUAL
9017,The company was founded in 2010.,TEMPORAL
9018,All mammals are animals.,LOGICAL
9019,This movie is fantastic.,OPINION
9020,The Olympics were held in Tokyo in 2021.,TEMPORAL
9021,India became independent in 1947.,TEMPORAL
9022,The Olympics were held in Tokyo in 2021.,TEMPORAL
9023,Python is the best language.,OPINION
9024,Every square is a rectangle.,LOGICAL
9025,Python is the best language.,OPINION
9026,Mount Everest is the tallest mountain.,FACTUAL
9027,All mammals are animals.,LOGICAL
9028,If A>B and B>C then A>C.,LOGICAL
9029,India became independent in 1947.,TEMPORAL
9030,The company was founded in 2010.,TEMPORAL
9031,If A>B and B>C then A>C.,LOGICAL
9032,AI is the greatest invention.,OPINION
9033,Every square is a rectangle.,LOGICAL
9034,Python is the best language.,OPINION
9035,The company was founded in 2010.,TEMPORAL
9036,All mammals are animals.,LOGICAL
9037,All mammals are animals.,LOGICAL
9038,All mammals are animals.,LOGICAL
9039,If A>B and B>C then A>C.,LOGICAL
9040,AI is the greatest invention.,OPINION
9041,Paris is the capital of France.,FACTUAL
9042,Water freezes at 0°C.,FACTUAL
9043,Every square is a rectangle.,LOGICAL
9044,India became independent in 1947.,TEMPORAL
9045,This movie is fantastic.,OPINION
9046,Water freezes at 0°C.,FACTUAL
9047,The company was founded in 2010.,TEMPORAL
9048,All mammals are animals.,LOGICAL
9049,This movie is fantastic.,OPINION
9050,Paris is the capital of France.,FACTUAL
9051,A triangle has 3 sides.,NUMERIC
9052,Mount Everest is the tallest mountain.,FACTUAL
9053,All mammals are animals.,LOGICAL
9054,AI is the greatest invention.,OPINION
9055,If A>B and B>C then A>C.,LOGICAL
9056,This movie is fantastic.,OPINION
9057,Python is the best language.,OPINION
9058,Water freezes at 0°C.,FACTUAL
9059,AI is the greatest invention.,OPINION
9060,This movie is fantastic.,OPINION
9061,The Earth is 149.6 million km from the Sun.,NUMERIC
9062,India became independent in 1947.,TEMPORAL
9063,Water freezes at 0°C.,FACTUAL
9064,This movie is fantastic.,OPINION
9065,All mammals are animals.,LOGICAL
9066,15 + 27 = 42.,NUMERIC
9067,The Earth is 149.6 million km from the Sun.,NUMERIC
9068,All mammals are animals.,LOGICAL
9069,Water freezes at 0°C.,FACTUAL
9070,The Earth is 149.6 million km from the Sun.,NUMERIC
9071,Water freezes at 0°C.,FACTUAL
9072,15 + 27 = 42.,NUMERIC
9073,The company was founded in 2010.,TEMPORAL
9074,This movie is fantastic.,OPINION
9075,A triangle has 3 sides.,NUMERIC
9076,Every square is a rectangle.,LOGICAL
9077,Paris is the capital of France.,FACTUAL
9078,15 + 27 = 42.,NUMERIC
9079,A triangle has 3 sides.,NUMERIC
9080,Python is the best language.,OPINION
9081,Water freezes at 0°C.,FACTUAL
9082,If A>B and B>C then A>C.,LOGICAL
9083,All mammals are animals.,LOGICAL
9084,Python is the best language.,OPINION
9085,The company was founded in 2010.,TEMPORAL
9086,AI is the greatest invention.,OPINION
9087,If A>B and B>C then A>C.,LOGICAL
9088,Water freezes at 0°C.,FACTUAL
9089,Every square is a rectangle.,LOGICAL
9090,All mammals are animals.,LOGICAL
9091,Paris is the capital of France.,FACTUAL
9092,The company was founded in 2010.,TEMPORAL
9093,The Olympics were held in Tokyo in 2021.,TEMPORAL
9094,Every square is a rectangle.,LOGICAL
9095,15 + 27 = 42.,NUMERIC
9096,Paris is the capital of France.,FACTUAL
9097,15 + 27 = 42.,NUMERIC
9098,AI is the greatest invention.,OPINION
9099,The Earth is 149.6 million km from the Sun.,NUMERIC
9100,This movie is fantastic.,OPINION
9101,This movie is fantastic.,OPINION
9102,All mammals are animals.,LOGICAL
9103,A triangle has 3 sides.,NUMERIC
9104,All mammals are animals.,LOGICAL
9105,AI is the greatest invention.,OPINION
9106,15 + 27 = 42.,NUMERIC
9107,The Earth is 149.6 million km from the Sun.,NUMERIC
9108,A triangle has 3 sides.,NUMERIC
9109,All mammals are animals.,LOGICAL
9110,India became independent in 1947.,TEMPORAL
9111,AI is the greatest invention.,OPINION
9112,Mount Everest is the tallest mountain.,FACTUAL
9113,The company was founded in 2010.,TEMPORAL
9114,AI is the greatest invention.,OPINION
9115,India became independent in 1947.,TEMPORAL
9116,India became independent in 1947.,TEMPORAL
9117,All mammals are animals.,LOGICAL
9118,A triangle has 3 sides.,NUMERIC
9119,If A>B and B>C then A>C.,LOGICAL
9120,All mammals are animals.,LOGICAL
9121,Paris is the capital of France.,FACTUAL
9122,Every square is a rectangle.,LOGICAL
9123,AI is the greatest invention.,OPINION
9124,A triangle has 3 sides.,NUMERIC
9125,A triangle has 3 sides.,NUMERIC
9126,15 + 27 = 42.,NUMERIC
9127,Every square is a rectangle.,LOGICAL
9128,Mount Everest is the tallest mountain.,FACTUAL
9129,15 + 27 = 42.,NUMERIC
9130,Every square is a rectangle.,LOGICAL
9131,India became independent in 1947.,TEMPORAL
9132,The Olympics were held in Tokyo in 2021.,TEMPORAL
9133,Water freezes at 0°C.,FACTUAL
9134,Water freezes at 0°C.,FACTUAL
9135,All mammals are animals.,LOGICAL
9136,A triangle has 3 sides.,NUMERIC
9137,The Olympics were held in Tokyo in 2021.,TEMPORAL
9138,Every square is a rectangle.,LOGICAL
9139,A triangle has 3 sides.,NUMERIC
9140,The Earth is 149.6 million km from the Sun.,NUMERIC
9141,Python is the best language.,OPINION
9142,Every square is a rectangle.,LOGICAL
9143,15 + 27 = 42.,NUMERIC
9144,Python is the best language.,OPINION
9145,The Olympics were held in Tokyo in 2021.,TEMPORAL
9146,Water freezes at 0°C.,FACTUAL
9147,AI is the greatest invention.,OPINION
9148,All mammals are animals.,LOGICAL
9149,AI is the greatest invention.,OPINION
9150,A triangle has 3 sides.,NUMERIC
9151,Water freezes at 0°C.,FACTUAL
9152,The Olympics were held in Tokyo in 2021.,TEMPORAL
9153,The Olympics were held in Tokyo in 2021.,TEMPORAL
9154,The Olympics were held in Tokyo in 2021.,TEMPORAL
9155,Python is the best language.,OPINION
9156,The Olympics were held in Tokyo in 2021.,TEMPORAL
9157,Every square is a rectangle.,LOGICAL
9158,If A>B and B>C then A>C.,LOGICAL
9159,Python is the best language.,OPINION
9160,Python is the best language.,OPINION
9161,Python is the best language.,OPINION
9162,AI is the greatest invention.,OPINION
9163,If A>B and B>C then A>C.,LOGICAL
9164,Mount Everest is the tallest mountain.,FACTUAL
9165,If A>B and B>C then A>C.,LOGICAL
9166,Python is the best language.,OPINION
9167,Python is the best language.,OPINION
9168,Water freezes at 0°C.,FACTUAL
9169,The Olympics were held in Tokyo in 2021.,TEMPORAL
9170,The company was founded in 2010.,TEMPORAL
9171,AI is the greatest invention.,OPINION
9172,The Olympics were held in Tokyo in 2021.,TEMPORAL
9173,A triangle has 3 sides.,NUMERIC
9174,The Earth is 149.6 million km from the Sun.,NUMERIC
9175,India became independent in 1947.,TEMPORAL
9176,The company was founded in 2010.,TEMPORAL
9177,If A>B and B>C then A>C.,LOGICAL
9178,The company was founded in 2010.,TEMPORAL
9179,Every square is a rectangle.,LOGICAL
9180,A triangle has 3 sides.,NUMERIC
9181,A triangle has 3 sides.,NUMERIC
9182,India became independent in 1947.,TEMPORAL
9183,The company was founded in 2010.,TEMPORAL
9184,Python is the best language.,OPINION
9185,India became independent in 1947.,TEMPORAL
9186,Every square is a rectangle.,LOGICAL
9187,AI is the greatest invention.,OPINION
9188,Mount Everest is the tallest mountain.,FACTUAL
9189,The company was founded in 2010.,TEMPORAL
9190,15 + 27 = 42.,NUMERIC
9191,Python is the best language.,OPINION
9192,India became independent in 1947.,TEMPORAL
9193,If A>B and B>C then A>C.,LOGICAL
9194,The Earth is 149.6 million km from the Sun.,NUMERIC
9195,Every square is a rectangle.,LOGICAL
9196,The company was founded in 2010.,TEMPORAL
9197,Every square is a rectangle.,LOGICAL
9198,India became independent in 1947.,TEMPORAL
9199,The company was founded in 2010.,TEMPORAL
9200,Water freezes at 0°C.,FACTUAL
9201,Water freezes at 0°C.,FACTUAL
9202,This movie is fantastic.,OPINION
9203,Paris is the capital of France.,FACTUAL
9204,The Earth is 149.6 million km from the Sun.,NUMERIC
9205,If A>B and B>C then A>C.,LOGICAL
9206,Python is the best language.,OPINION
9207,The company was founded in 2010.,TEMPORAL
9208,This movie is fantastic.,OPINION
9209,The Earth is 149.6 million km from the Sun.,NUMERIC
9210,Water freezes at 0°C.,FACTUAL
9211,Every square is a rectangle.,LOGICAL
9212,Water freezes at 0°C.,FACTUAL
9213,If A>B and B>C then A>C.,LOGICAL
9214,India became independent in 1947.,TEMPORAL
9215,15 + 27 = 42.,NUMERIC
9216,Water freezes at 0°C.,FACTUAL
9217,Paris is the capital of France.,FACTUAL
9218,Water freezes at 0°C.,FACTUAL
9219,Mount Everest is the tallest mountain.,FACTUAL
9220,This movie is fantastic.,OPINION
9221,15 + 27 = 42.,NUMERIC
9222,All mammals are animals.,LOGICAL
9223,Mount Everest is the tallest mountain.,FACTUAL
9224,AI is the greatest invention.,OPINION
9225,Paris is the capital of France.,FACTUAL
9226,The company was founded in 2010.,TEMPORAL
9227,The Olympics were held in Tokyo in 2021.,TEMPORAL
9228,All mammals are animals.,LOGICAL
9229,15 + 27 = 42.,NUMERIC
9230,Python is the best language.,OPINION
9231,This movie is fantastic.,OPINION
9232,This movie is fantastic.,OPINION
9233,15 + 27 = 42.,NUMERIC
9234,Mount Everest is the tallest mountain.,FACTUAL
9235,This movie is fantastic.,OPINION
9236,15 + 27 = 42.,NUMERIC
9237,All mammals are animals.,LOGICAL
9238,Python is the best language.,OPINION
9239,Paris is the capital of France.,FACTUAL
9240,Mount Everest is the tallest mountain.,FACTUAL
9241,This movie is fantastic.,OPINION
9242,All mammals are animals.,LOGICAL
9243,Paris is the capital of France.,FACTUAL
9244,All mammals are animals.,LOGICAL
9245,The Earth is 149.6 million km from the Sun.,NUMERIC
9246,AI is the greatest invention.,OPINION
9247,15 + 27 = 42.,NUMERIC
9248,India became independent in 1947.,TEMPORAL
9249,Paris is the capital of France.,FACTUAL
9250,The Olympics were held in Tokyo in 2021.,TEMPORAL
9251,Python is the best language.,OPINION
9252,If A>B and B>C then A>C.,LOGICAL
9253,15 + 27 = 42.,NUMERIC
9254,Paris is the capital of France.,FACTUAL
9255,Every square is a rectangle.,LOGICAL
9256,If A>B and B>C then A>C.,LOGICAL
9257,A triangle has 3 sides.,NUMERIC
9258,Every square is a rectangle.,LOGICAL
9259,All mammals are animals.,LOGICAL
9260,This movie is fantastic.,OPINION
9261,A triangle has 3 sides.,NUMERIC
9262,If A>B and B>C then A>C.,LOGICAL
9263,This movie is fantastic.,OPINION
9264,India became independent in 1947.,TEMPORAL
9265,Every square is a rectangle.,LOGICAL
9266,This movie is fantastic.,OPINION
9267,Every square is a rectangle.,LOGICAL
9268,The Earth is 149.6 million km from the Sun.,NUMERIC
9269,A triangle has 3 sides.,NUMERIC
9270,Mount Everest is the tallest mountain.,FACTUAL
9271,All mammals are animals.,LOGICAL
9272,All mammals are animals.,LOGICAL
9273,The Earth is 149.6 million km from the Sun.,NUMERIC
9274,The Olympics were held in Tokyo in 2021.,TEMPORAL
9275,India became independent in 1947.,TEMPORAL
9276,India became independent in 1947.,TEMPORAL
9277,Every square is a rectangle.,LOGICAL
9278,All mammals are animals.,LOGICAL
9279,AI is the greatest invention.,OPINION
9280,Water freezes at 0°C.,FACTUAL
9281,Water freezes at 0°C.,FACTUAL
9282,This movie is fantastic.,OPINION
9283,The Olympics were held in Tokyo in 2021.,TEMPORAL
9284,Water freezes at 0°C.,FACTUAL
9285,Every square is a rectangle.,LOGICAL
9286,If A>B and B>C then A>C.,LOGICAL
9287,Water freezes at 0°C.,FACTUAL
9288,The Olympics were held in Tokyo in 2021.,TEMPORAL
9289,The Earth is 149.6 million km from the Sun.,NUMERIC
9290,The Olympics were held in Tokyo in 2021.,TEMPORAL
9291,All mammals are animals.,LOGICAL
9292,15 + 27 = 42.,NUMERIC
9293,Python is the best language.,OPINION
9294,Python is the best language.,OPINION
9295,AI is the greatest invention.,OPINION
9296,Water freezes at 0°C.,FACTUAL
9297,India became independent in 1947.,TEMPORAL
9298,15 + 27 = 42.,NUMERIC
9299,15 + 27 = 42.,NUMERIC
9300,Python is the best language.,OPINION
9301,AI is the greatest invention.,OPINION
9302,India became independent in 1947.,TEMPORAL
9303,This movie is fantastic.,OPINION
9304,All mammals are animals.,LOGICAL
9305,India became independent in 1947.,TEMPORAL
9306,If A>B and B>C then A>C.,LOGICAL
9307,15 + 27 = 42.,NUMERIC
9308,If A>B and B>C then A>C.,LOGICAL
9309,A triangle has 3 sides.,NUMERIC
9310,Paris is the capital of France.,FACTUAL
9311,Mount Everest is the tallest mountain.,FACTUAL
9312,Mount Everest is the tallest mountain.,FACTUAL
9313,The Earth is 149.6 million km from the Sun.,NUMERIC
9314,This movie is fantastic.,OPINION
9315,All mammals are animals.,LOGICAL
9316,15 + 27 = 42.,NUMERIC
9317,A triangle has 3 sides.,NUMERIC
9318,Paris is the capital of France.,FACTUAL
9319,Water freezes at 0°C.,FACTUAL
9320,A triangle has 3 sides.,NUMERIC
9321,Water freezes at 0°C.,FACTUAL
9322,This movie is fantastic.,OPINION
9323,15 + 27 = 42.,NUMERIC
9324,AI is the greatest invention.,OPINION
9325,15 + 27 = 42.,NUMERIC
9326,India became independent in 1947.,TEMPORAL
9327,The company was founded in 2010.,TEMPORAL
9328,Mount Everest is the tallest mountain.,FACTUAL
9329,AI is the greatest invention.,OPINION
9330,All mammals are animals.,LOGICAL
9331,15 + 27 = 42.,NUMERIC
9332,All mammals are animals.,LOGICAL
9333,15 + 27 = 42.,NUMERIC
9334,This movie is fantastic.,OPINION
9335,This movie is fantastic.,OPINION
9336,All mammals are animals.,LOGICAL
9337,All mammals are animals.,LOGICAL
9338,Mount Everest is the tallest mountain.,FACTUAL
9339,15 + 27 = 42.,NUMERIC
9340,AI is the greatest invention.,OPINION
9341,Water freezes at 0°C.,FACTUAL
9342,15 + 27 = 42.,NUMERIC
9343,The Olympics were held in Tokyo in 2021.,TEMPORAL
9344,This movie is fantastic.,OPINION
9345,Every square is a rectangle.,LOGICAL
9346,Python is the best language.,OPINION
9347,Every square is a rectangle.,LOGICAL
9348,Every square is a rectangle.,LOGICAL
9349,This movie is fantastic.,OPINION
9350,Python is the best language.,OPINION
9351,If A>B and B>C then A>C.,LOGICAL
9352,This movie is fantastic.,OPINION
9353,A triangle has 3 sides.,NUMERIC
9354,All mammals are animals.,LOGICAL
9355,Paris is the capital of France.,FACTUAL
9356,Mount Everest is the tallest mountain.,FACTUAL
9357,The Olympics were held in Tokyo in 2021.,TEMPORAL
9358,Mount Everest is the tallest mountain.,FACTUAL
9359,If A>B and B>C then A>C.,LOGICAL
9360,If A>B and B>C then A>C.,LOGICAL
9361,India became independent in 1947.,TEMPORAL
9362,The Olympics were held in Tokyo in 2021.,TEMPORAL
9363,15 + 27 = 42.,NUMERIC
9364,The Earth is 149.6 million km from the Sun.,NUMERIC
9365,The Earth is 149.6 million km from the Sun.,NUMERIC
9366,Python is the best language.,OPINION
9367,A triangle has 3 sides.,NUMERIC
9368,The Olympics were held in Tokyo in 2021.,TEMPORAL
9369,15 + 27 = 42.,NUMERIC
9370,Paris is the capital of France.,FACTUAL
9371,If A>B and B>C then A>C.,LOGICAL
9372,If A>B and B>C then A>C.,LOGICAL
9373,Every square is a rectangle.,LOGICAL
9374,If A>B and B>C then A>C.,LOGICAL
9375,The Earth is 149.6 million km from the Sun.,NUMERIC
9376,The Earth is 149.6 million km from the Sun.,NUMERIC
9377,Paris is the capital of France.,FACTUAL
9378,A triangle has 3 sides.,NUMERIC
9379,Water freezes at 0°C.,FACTUAL
9380,India became independent in 1947.,TEMPORAL
9381,The Olympics were held in Tokyo in 2021.,TEMPORAL
9382,Every square is a rectangle.,LOGICAL
9383,All mammals are animals.,LOGICAL
9384,This movie is fantastic.,OPINION
9385,The company was founded in 2010.,TEMPORAL
9386,This movie is fantastic.,OPINION
9387,Water freezes at 0°C.,FACTUAL
9388,Water freezes at 0°C.,FACTUAL
9389,India became independent in 1947.,TEMPORAL
9390,The company was founded in 2010.,TEMPORAL
9391,15 + 27 = 42.,NUMERIC
9392,Paris is the capital of France.,FACTUAL
9393,This movie is fantastic.,OPINION
9394,Paris is the capital of France.,FACTUAL
9395,AI is the greatest invention.,OPINION
9396,This movie is fantastic.,OPINION
9397,Water freezes at 0°C.,FACTUAL
9398,If A>B and B>C then A>C.,LOGICAL
9399,This movie is fantastic.,OPINION
9400,The company was founded in 2010.,TEMPORAL
9401,The Olympics were held in Tokyo in 2021.,TEMPORAL
9402,India became independent in 1947.,TEMPORAL
9403,Python is the best language.,OPINION
9404,Water freezes at 0°C.,FACTUAL
